Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_97,VPWR,li1,50.8300,100.6400,1.799989
FILLER_32_88,VPWR,li1,46.2300,100.6400,1.799990
FILLER_32_41,VPWR,li1,24.6100,100.6400,1.799990
FILLER_32_27,VPWR,li1,18.1700,100.6400,1.799993
FILLER_31_207,VPWR,li1,101.2000,95.2000,1.799992
FILLER_31_172,VPWR,li1,85.3300,95.2000,1.799992
FILLER_31_169,VPWR,li1,83.9500,95.2000,1.799992
FILLER_31_165,VPWR,li1,82.1100,95.2000,1.799993
FILLER_31_162,VPWR,li1,80.7300,95.2000,1.799993
FILLER_31_159,VPWR,li1,79.3500,95.2000,1.799993
FILLER_31_156,VPWR,li1,77.9700,95.2000,1.799994
FILLER_31_153,VPWR,li1,76.5900,95.2000,1.799994
FILLER_31_137,VPWR,li1,68.7700,95.2000,1.799994
FILLER_31_134,VPWR,li1,67.8500,95.2000,1.799994
FILLER_31_131,VPWR,li1,66.4700,95.2000,1.799993
FILLER_31_102,VPWR,li1,52.9000,95.2000,1.799993
FILLER_31_99,VPWR,li1,51.7500,95.2000,1.799993
FILLER_31_81,VPWR,li1,43.0100,95.2000,1.799995
FILLER_31_67,VPWR,li1,36.5700,95.2000,1.799993
FILLER_31_24,VPWR,li1,16.7900,95.2000,1.799991
FILLER_31_3,VPWR,li1,7.1300,95.2000,1.799993
FILLER_30_180,VPWR,li1,88.7800,95.2000,1.799991
FILLER_30_156,VPWR,li1,77.7400,95.2000,1.799994
FILLER_30_153,VPWR,li1,76.5900,95.2000,1.799994
FILLER_30_144,VPWR,li1,71.9900,95.2000,1.799994
FILLER_30_141,VPWR,li1,71.0700,95.2000,1.799995
FILLER_30_134,VPWR,li1,67.3900,95.2000,1.799994
FILLER_30_112,VPWR,li1,57.2700,95.2000,1.799993
FILLER_30_103,VPWR,li1,53.1300,95.2000,1.799993
FILLER_30_100,VPWR,li1,52.2100,95.2000,1.799993
FILLER_30_81,VPWR,li1,43.4700,95.2000,1.799995
FILLER_30_65,VPWR,li1,35.8800,95.2000,1.799993
FILLER_30_29,VPWR,li1,19.0900,95.2000,1.799990
FILLER_30_3,VPWR,li1,7.3600,95.2000,1.799993
FILLER_29_216,VPWR,li1,105.3400,89.7600,1.799999
FILLER_29_204,VPWR,li1,99.5900,89.7600,1.799999
FILLER_29_176,VPWR,li1,86.9400,89.7600,1.799997
FILLER_29_156,VPWR,li1,77.7400,89.7600,1.799996
FILLER_29_153,VPWR,li1,76.5900,89.7600,1.799996
FILLER_29_109,VPWR,li1,56.3500,89.7600,1.799994
FILLER_29_106,VPWR,li1,54.9700,89.7600,1.799994
FILLER_29_87,VPWR,li1,46.0000,89.7600,1.799992
FILLER_29_84,VPWR,li1,44.8500,89.7600,1.799992
FILLER_29_57,VPWR,li1,31.9700,89.7600,1.799986
FILLER_29_52,VPWR,li1,29.6700,89.7600,1.799985
FILLER_29_34,VPWR,li1,21.3900,89.7600,1.799983
FILLER_29_23,VPWR,li1,16.7900,89.7600,1.799985
FILLER_29_14,VPWR,li1,12.1900,89.7600,1.799990
FILLER_29_11,VPWR,li1,11.2700,89.7600,1.799990
FILLER_28_208,VPWR,li1,101.4300,89.7600,1.799999
FILLER_28_203,VPWR,li1,99.3600,89.7600,1.799999
FILLER_28_195,VPWR,li1,95.4500,89.7600,1.799998
FILLER_28_192,VPWR,li1,94.5300,89.7600,1.799998
FILLER_28_176,VPWR,li1,87.1700,89.7600,1.799997
FILLER_28_154,VPWR,li1,77.0500,89.7600,1.799996
FILLER_28_151,VPWR,li1,75.6700,89.7600,1.799996
FILLER_28_131,VPWR,li1,66.2400,89.7600,1.799995
FILLER_28_128,VPWR,li1,65.0900,89.7600,1.799995
FILLER_28_125,VPWR,li1,63.7100,89.7600,1.799995
FILLER_28_99,VPWR,li1,51.2900,89.7600,1.799993
FILLER_28_96,VPWR,li1,50.3700,89.7600,1.799993
FILLER_28_88,VPWR,li1,46.4600,89.7600,1.799992
FILLER_28_85,VPWR,li1,45.3100,89.7600,1.799992
FILLER_28_49,VPWR,li1,28.2900,89.7600,1.799985
FILLER_28_3,VPWR,li1,7.3600,89.7600,1.799990
FILLER_27_194,VPWR,li1,95.4500,84.3200,1.799964
FILLER_27_179,VPWR,li1,88.3200,84.3200,1.799953
FILLER_27_172,VPWR,li1,84.8700,84.3200,1.799953
FILLER_27_169,VPWR,li1,83.9500,84.3200,1.799954
FILLER_27_158,VPWR,li1,78.8900,84.3200,1.799957
FILLER_27_155,VPWR,li1,77.5100,84.3200,1.799958
FILLER_27_152,VPWR,li1,76.1300,84.3200,1.799960
FILLER_27_149,VPWR,li1,74.7500,84.3200,1.799960
FILLER_27_142,VPWR,li1,71.0700,84.3200,1.799963
FILLER_27_139,VPWR,li1,70.1500,84.3200,1.799963
FILLER_27_126,VPWR,li1,63.7100,84.3200,1.799951
FILLER_27_113,VPWR,li1,57.9600,84.3200,1.799950
FILLER_27_90,VPWR,li1,47.1500,84.3200,1.799952
FILLER_27_57,VPWR,li1,31.9700,84.3200,1.799952
FILLER_27_43,VPWR,li1,25.7600,84.3200,1.799949
FILLER_27_30,VPWR,li1,19.7800,84.3200,1.799957
FILLER_27_11,VPWR,li1,11.0400,84.3200,1.799978
FILLER_26_206,VPWR,li1,100.9700,84.3200,1.799976
FILLER_26_203,VPWR,li1,99.5900,84.3200,1.799971
FILLER_26_200,VPWR,li1,98.2100,84.3200,1.799971
FILLER_26_197,VPWR,li1,96.8300,84.3200,1.799964
FILLER_26_195,VPWR,li1,95.4500,84.3200,1.799964
FILLER_26_190,VPWR,li1,93.3800,84.3200,1.799960
FILLER_26_172,VPWR,li1,84.8700,84.3200,1.799953
FILLER_26_110,VPWR,li1,56.3500,84.3200,1.799950
FILLER_26_97,VPWR,li1,50.6000,84.3200,1.799950
FILLER_26_85,VPWR,li1,44.8500,84.3200,1.799953
FILLER_26_65,VPWR,li1,35.8800,84.3200,1.799955
FILLER_26_42,VPWR,li1,25.3000,84.3200,1.799949
FILLER_26_19,VPWR,li1,14.4900,84.3200,1.799967
FILLER_25_209,VPWR,li1,102.3500,78.8800,1.799980
FILLER_25_206,VPWR,li1,100.9700,78.8800,1.799980
FILLER_25_203,VPWR,li1,99.5900,78.8800,1.799974
FILLER_25_180,VPWR,li1,88.7800,78.8800,1.799963
FILLER_25_169,VPWR,li1,83.9500,78.8800,1.799966
FILLER_25_158,VPWR,li1,78.6600,78.8800,1.799968
FILLER_25_135,VPWR,li1,68.0800,78.8800,1.799977
FILLER_25_113,VPWR,li1,57.7300,78.8800,1.799972
FILLER_25_85,VPWR,li1,45.0800,78.8800,1.799970
FILLER_25_49,VPWR,li1,28.2900,78.8800,1.799944
FILLER_25_11,VPWR,li1,11.0400,78.8800,1.799970
FILLER_24_209,VPWR,li1,102.3500,78.8800,1.799980
FILLER_24_206,VPWR,li1,100.9700,78.8800,1.799980
FILLER_24_203,VPWR,li1,99.5900,78.8800,1.799974
FILLER_24_200,VPWR,li1,98.2100,78.8800,1.799974
FILLER_24_195,VPWR,li1,95.4500,78.8800,1.799968
FILLER_24_141,VPWR,li1,70.6100,78.8800,1.799979
FILLER_24_139,VPWR,li1,69.6900,78.8800,1.799977
FILLER_24_108,VPWR,li1,55.6600,78.8800,1.799971
FILLER_24_85,VPWR,li1,45.0800,78.8800,1.799970
FILLER_24_82,VPWR,li1,43.7000,78.8800,1.799971
FILLER_24_49,VPWR,li1,28.2900,78.8800,1.799944
FILLER_24_39,VPWR,li1,23.9200,78.8800,1.799946
FILLER_24_36,VPWR,li1,22.7700,78.8800,1.799946
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799951
FILLER_24_3,VPWR,li1,7.3600,78.8800,1.799970
FILLER_23_210,VPWR,li1,102.5800,73.4400,1.799986
FILLER_23_207,VPWR,li1,101.4300,73.4400,1.799986
FILLER_23_204,VPWR,li1,100.0500,73.4400,1.799986
FILLER_23_167,VPWR,li1,82.5700,73.4400,1.799974
FILLER_23_152,VPWR,li1,75.6700,73.4400,1.799975
FILLER_23_137,VPWR,li1,68.7700,73.4400,1.799971
FILLER_23_109,VPWR,li1,56.3500,73.4400,1.799970
FILLER_23_83,VPWR,li1,44.1600,73.4400,1.799980
FILLER_23_28,VPWR,li1,18.6300,73.4400,1.799986
FILLER_23_25,VPWR,li1,17.7100,73.4400,1.799986
FILLER_22_137,VPWR,li1,69.2300,73.4400,1.799971
FILLER_22_123,VPWR,li1,62.7900,73.4400,1.799967
FILLER_22_109,VPWR,li1,56.3500,73.4400,1.799970
FILLER_22_53,VPWR,li1,30.5900,73.4400,1.799982
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799986
FILLER_22_24,VPWR,li1,17.2500,73.4400,1.799986
FILLER_22_6,VPWR,li1,8.5100,73.4400,1.799991
FILLER_22_3,VPWR,li1,7.5900,73.4400,1.799991
FILLER_21_216,VPWR,li1,105.3400,68.0000,1.799992
FILLER_21_201,VPWR,li1,98.2100,68.0000,1.799990
FILLER_21_198,VPWR,li1,97.2900,68.0000,1.799988
FILLER_21_195,VPWR,li1,95.9100,68.0000,1.799988
FILLER_21_166,VPWR,li1,82.3400,68.0000,1.799979
FILLER_21_140,VPWR,li1,70.3800,68.0000,1.799986
FILLER_21_137,VPWR,li1,69.2300,68.0000,1.799986
FILLER_21_134,VPWR,li1,67.8500,68.0000,1.799983
FILLER_21_131,VPWR,li1,66.4700,68.0000,1.799983
FILLER_21_125,VPWR,li1,63.7100,68.0000,1.799981
FILLER_21_122,VPWR,li1,62.3300,68.0000,1.799980
FILLER_21_119,VPWR,li1,60.9500,68.0000,1.799980
FILLER_21_116,VPWR,li1,59.5700,68.0000,1.799980
FILLER_21_103,VPWR,li1,53.1300,68.0000,1.799980
FILLER_21_82,VPWR,li1,43.7000,68.0000,1.799986
FILLER_21_79,VPWR,li1,42.5500,68.0000,1.799986
FILLER_21_74,VPWR,li1,40.0200,68.0000,1.799987
FILLER_21_70,VPWR,li1,37.9500,68.0000,1.799986
FILLER_21_16,VPWR,li1,13.3400,68.0000,1.799989
FILLER_21_6,VPWR,li1,8.7400,68.0000,1.799991
FILLER_21_3,VPWR,li1,7.5900,68.0000,1.799991
FILLER_20_206,VPWR,li1,100.9700,68.0000,1.799992
FILLER_20_203,VPWR,li1,99.5900,68.0000,1.799990
FILLER_20_200,VPWR,li1,98.2100,68.0000,1.799990
FILLER_20_197,VPWR,li1,96.8300,68.0000,1.799988
FILLER_20_147,VPWR,li1,73.3700,68.0000,1.799982
FILLER_20_144,VPWR,li1,72.4500,68.0000,1.799984
FILLER_20_138,VPWR,li1,69.4600,68.0000,1.799986
FILLER_20_83,VPWR,li1,43.9300,68.0000,1.799986
FILLER_20_80,VPWR,li1,43.0100,68.0000,1.799986
FILLER_20_75,VPWR,li1,40.4800,68.0000,1.799987
FILLER_20_72,VPWR,li1,39.3300,68.0000,1.799986
FILLER_20_69,VPWR,li1,37.9500,68.0000,1.799986
FILLER_20_25,VPWR,li1,17.7100,68.0000,1.799984
FILLER_20_14,VPWR,li1,12.6500,68.0000,1.799989
FILLER_20_11,VPWR,li1,11.2700,68.0000,1.799991
FILLER_19_203,VPWR,li1,99.5900,62.5600,1.799984
FILLER_19_184,VPWR,li1,90.6200,62.5600,1.799973
FILLER_19_181,VPWR,li1,89.4700,62.5600,1.799971
FILLER_19_175,VPWR,li1,86.7100,62.5600,1.799968
FILLER_19_172,VPWR,li1,85.3300,62.5600,1.799968
FILLER_19_166,VPWR,li1,82.3400,62.5600,1.799963
FILLER_19_157,VPWR,li1,78.4300,62.5600,1.799962
FILLER_19_154,VPWR,li1,77.0500,62.5600,1.799961
FILLER_19_151,VPWR,li1,75.6700,62.5600,1.799961
FILLER_19_129,VPWR,li1,65.0900,62.5600,1.799931
FILLER_19_126,VPWR,li1,64.1700,62.5600,1.799931
FILLER_19_113,VPWR,li1,57.7300,62.5600,1.799926
FILLER_19_89,VPWR,li1,46.9200,62.5600,1.799956
FILLER_19_65,VPWR,li1,36.1100,62.5600,1.799977
FILLER_19_45,VPWR,li1,26.9100,62.5600,1.799982
FILLER_19_42,VPWR,li1,25.5300,62.5600,1.799983
FILLER_19_39,VPWR,li1,24.1500,62.5600,1.799984
FILLER_19_28,VPWR,li1,19.0900,62.5600,1.799986
FILLER_19_19,VPWR,li1,14.7200,62.5600,1.799988
FILLER_18_193,VPWR,li1,94.9900,62.5600,1.799977
FILLER_18_155,VPWR,li1,77.0500,62.5600,1.799961
FILLER_18_152,VPWR,li1,76.1300,62.5600,1.799961
FILLER_18_149,VPWR,li1,74.7500,62.5600,1.799960
FILLER_18_146,VPWR,li1,73.3700,62.5600,1.799960
FILLER_18_138,VPWR,li1,69.4600,62.5600,1.799958
FILLER_18_102,VPWR,li1,52.6700,62.5600,1.799940
FILLER_18_99,VPWR,li1,51.7500,62.5600,1.799940
FILLER_18_76,VPWR,li1,40.7100,62.5600,1.799974
FILLER_18_73,VPWR,li1,39.7900,62.5600,1.799975
FILLER_18_70,VPWR,li1,38.4100,62.5600,1.799975
FILLER_18_67,VPWR,li1,37.0300,62.5600,1.799977
FILLER_18_46,VPWR,li1,27.1400,62.5600,1.799982
FILLER_18_36,VPWR,li1,22.5400,62.5600,1.799984
FILLER_18_3,VPWR,li1,7.1300,62.5600,1.799991
FILLER_17_207,VPWR,li1,101.2000,57.1200,1.799993
FILLER_17_169,VPWR,li1,83.4900,57.1200,1.799984
FILLER_17_129,VPWR,li1,65.0900,57.1200,1.799987
FILLER_17_113,VPWR,li1,57.7300,57.1200,1.799988
FILLER_17_98,VPWR,li1,50.8300,57.1200,1.799989
FILLER_17_95,VPWR,li1,49.9100,57.1200,1.799989
FILLER_17_80,VPWR,li1,42.7800,57.1200,1.799990
FILLER_17_77,VPWR,li1,41.6300,57.1200,1.799990
FILLER_17_74,VPWR,li1,40.2500,57.1200,1.799990
FILLER_17_25,VPWR,li1,17.2500,57.1200,1.799985
FILLER_16_207,VPWR,li1,101.2000,57.1200,1.799993
FILLER_16_204,VPWR,li1,100.0500,57.1200,1.799993
FILLER_16_179,VPWR,li1,88.0900,57.1200,1.799985
FILLER_16_167,VPWR,li1,82.8000,57.1200,1.799984
FILLER_16_144,VPWR,li1,72.2200,57.1200,1.799989
FILLER_16_141,VPWR,li1,71.0700,57.1200,1.799989
FILLER_16_109,VPWR,li1,56.1200,57.1200,1.799988
FILLER_16_96,VPWR,li1,50.1400,57.1200,1.799989
FILLER_16_70,VPWR,li1,38.4100,57.1200,1.799987
FILLER_16_67,VPWR,li1,37.0300,57.1200,1.799987
FILLER_16_64,VPWR,li1,35.6500,57.1200,1.799984
FILLER_16_61,VPWR,li1,34.2700,57.1200,1.799984
FILLER_16_40,VPWR,li1,24.1500,57.1200,1.799981
FILLER_16_37,VPWR,li1,23.2300,57.1200,1.799981
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799983
FILLER_15_181,VPWR,li1,89.0100,51.6800,1.799967
FILLER_15_178,VPWR,li1,88.0900,51.6800,1.799967
FILLER_15_175,VPWR,li1,86.7100,51.6800,1.799969
FILLER_15_158,VPWR,li1,78.6600,51.6800,1.799975
FILLER_15_153,VPWR,li1,76.3600,51.6800,1.799977
FILLER_15_150,VPWR,li1,75.2100,51.6800,1.799977
FILLER_15_147,VPWR,li1,73.8300,51.6800,1.799979
FILLER_15_111,VPWR,li1,56.8100,51.6800,1.799974
FILLER_15_66,VPWR,li1,36.5700,51.6800,1.799985
FILLER_15_63,VPWR,li1,35.1900,51.6800,1.799985
FILLER_15_60,VPWR,li1,33.8100,51.6800,1.799986
FILLER_15_34,VPWR,li1,21.3900,51.6800,1.799989
FILLER_14_197,VPWR,li1,96.6000,51.6800,1.799980
FILLER_14_188,VPWR,li1,92.6900,51.6800,1.799974
FILLER_14_185,VPWR,li1,91.3100,51.6800,1.799971
FILLER_14_172,VPWR,li1,85.1000,51.6800,1.799969
FILLER_14_167,VPWR,li1,82.8000,51.6800,1.799972
FILLER_14_159,VPWR,li1,79.3500,51.6800,1.799973
FILLER_14_156,VPWR,li1,77.9700,51.6800,1.799975
FILLER_14_153,VPWR,li1,76.5900,51.6800,1.799977
FILLER_14_150,VPWR,li1,75.2100,51.6800,1.799977
FILLER_14_147,VPWR,li1,73.8300,51.6800,1.799979
FILLER_14_144,VPWR,li1,72.4500,51.6800,1.799979
FILLER_14_138,VPWR,li1,69.4600,51.6800,1.799981
FILLER_14_133,VPWR,li1,67.1600,51.6800,1.799978
FILLER_14_101,VPWR,li1,52.4400,51.6800,1.799975
FILLER_14_98,VPWR,li1,51.2900,51.6800,1.799975
FILLER_14_95,VPWR,li1,49.9100,51.6800,1.799978
FILLER_14_92,VPWR,li1,48.5300,51.6800,1.799978
FILLER_14_57,VPWR,li1,32.4300,51.6800,1.799986
FILLER_14_25,VPWR,li1,17.7100,51.6800,1.799990
FILLER_14_6,VPWR,li1,8.7400,51.6800,1.799993
FILLER_14_3,VPWR,li1,7.5900,51.6800,1.799993
FILLER_13_217,VPWR,li1,105.5700,46.2400,1.799980
FILLER_13_193,VPWR,li1,94.9900,46.2400,1.799971
FILLER_13_186,VPWR,li1,91.3100,46.2400,1.799963
FILLER_13_167,VPWR,li1,82.5700,46.2400,1.799956
FILLER_13_138,VPWR,li1,69.2300,46.2400,1.799958
FILLER_13_126,VPWR,li1,63.7100,46.2400,1.799950
FILLER_13_116,VPWR,li1,59.3400,46.2400,1.799954
FILLER_13_109,VPWR,li1,56.3500,46.2400,1.799958
FILLER_13_104,VPWR,li1,53.8200,46.2400,1.799960
FILLER_13_101,VPWR,li1,52.6700,46.2400,1.799960
FILLER_13_93,VPWR,li1,48.7600,46.2400,1.799965
FILLER_13_90,VPWR,li1,47.6100,46.2400,1.799966
FILLER_13_87,VPWR,li1,46.2300,46.2400,1.799966
FILLER_13_84,VPWR,li1,44.8500,46.2400,1.799969
FILLER_13_27,VPWR,li1,18.4000,46.2400,1.799984
FILLER_13_24,VPWR,li1,17.2500,46.2400,1.799984
FILLER_13_14,VPWR,li1,12.4200,46.2400,1.799990
FILLER_13_11,VPWR,li1,11.2700,46.2400,1.799992
FILLER_12_211,VPWR,li1,102.8100,46.2400,1.799980
FILLER_12_206,VPWR,li1,100.7400,46.2400,1.799980
FILLER_12_203,VPWR,li1,99.5900,46.2400,1.799980
FILLER_12_200,VPWR,li1,98.2100,46.2400,1.799975
FILLER_12_197,VPWR,li1,96.8300,46.2400,1.799975
FILLER_12_194,VPWR,li1,95.2200,46.2400,1.799971
FILLER_12_152,VPWR,li1,75.9000,46.2400,1.799955
FILLER_12_147,VPWR,li1,73.6000,46.2400,1.799954
FILLER_12_102,VPWR,li1,52.9000,46.2400,1.799960
FILLER_12_88,VPWR,li1,46.4600,46.2400,1.799966
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.799969
FILLER_12_29,VPWR,li1,19.5500,46.2400,1.799982
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799984
FILLER_12_16,VPWR,li1,13.5700,46.2400,1.799990
FILLER_12_6,VPWR,li1,8.7400,46.2400,1.799992
FILLER_12_3,VPWR,li1,7.5900,46.2400,1.799992
FILLER_11_208,VPWR,li1,101.4300,40.8000,1.799985
FILLER_11_205,VPWR,li1,100.5100,40.8000,1.799985
FILLER_11_202,VPWR,li1,99.1300,40.8000,1.799985
FILLER_11_199,VPWR,li1,97.7500,40.8000,1.799981
FILLER_11_196,VPWR,li1,96.3700,40.8000,1.799977
FILLER_11_193,VPWR,li1,94.9900,40.8000,1.799977
FILLER_11_158,VPWR,li1,78.4300,40.8000,1.799974
FILLER_11_155,VPWR,li1,77.5100,40.8000,1.799977
FILLER_11_152,VPWR,li1,76.1300,40.8000,1.799977
FILLER_11_149,VPWR,li1,74.7500,40.8000,1.799979
FILLER_11_138,VPWR,li1,69.4600,40.8000,1.799981
FILLER_11_116,VPWR,li1,59.1100,40.8000,1.799975
FILLER_11_113,VPWR,li1,58.1900,40.8000,1.799975
FILLER_11_55,VPWR,li1,31.0500,40.8000,1.799966
FILLER_10_210,VPWR,li1,102.5800,40.8000,1.799985
FILLER_10_206,VPWR,li1,100.5100,40.8000,1.799985
FILLER_10_193,VPWR,li1,94.9900,40.8000,1.799977
FILLER_10_184,VPWR,li1,90.3900,40.8000,1.799969
FILLER_10_164,VPWR,li1,81.4200,40.8000,1.799971
FILLER_10_148,VPWR,li1,74.0600,40.8000,1.799979
FILLER_10_113,VPWR,li1,58.1900,40.8000,1.799975
FILLER_10_110,VPWR,li1,56.8100,40.8000,1.799974
FILLER_10_107,VPWR,li1,55.4300,40.8000,1.799974
FILLER_10_85,VPWR,li1,45.0800,40.8000,1.799974
FILLER_10_56,VPWR,li1,31.5100,40.8000,1.799966
FILLER_10_6,VPWR,li1,8.5100,40.8000,1.799978
FILLER_10_3,VPWR,li1,7.5900,40.8000,1.799978
FILLER_9_185,VPWR,li1,91.3100,35.3600,1.799984
FILLER_9_145,VPWR,li1,72.6800,35.3600,1.799985
FILLER_9_128,VPWR,li1,64.8600,35.3600,1.799981
FILLER_9_125,VPWR,li1,63.7100,35.3600,1.799981
FILLER_9_122,VPWR,li1,62.3300,35.3600,1.799979
FILLER_9_119,VPWR,li1,60.9500,35.3600,1.799979
FILLER_9_116,VPWR,li1,59.5700,35.3600,1.799976
FILLER_9_113,VPWR,li1,58.1900,35.3600,1.799976
